gene	locus_tag	transcript_ID	kali320	kali310	kali355	kali351	kali357	kali244	kali326	kali334	kali373	kali308	kali388	kali448	kali322	kali189	kali148	kali262	kali371	kali391	kali224	kali383	kali170	kali443	kali459	kali400
cds2957	"PF11_0123;partial=true;start_range=.,452459"	XM_001347759.1	33.83826696	17.0659488	20.83007452	18.6029484	10.07945591	22.45754879	18.36477396	13.92547428	28.86214202	18.92171606	17.11156494	14.48648009	44.91708313	34.90563981	60.49544951	52.56128446	42.19382486	45.03812893	18.21470195	61.03579018	44.47392364	24.66252727	61.50128049	50.81805399
cds2958	"PF11_0124;partial=true;start_range=.,455669"	XM_001347760.2	8.45956674	2.1332436	0	0	0	2.323194702	27.54716095	1.54727492	1.154485681	0	6.111273194	3.950858205	0.889447191	0.906639995	1.215988935	0.352760298	1.298271534	0	0.910735098	2.994208575	0.907631095	0.649013875	3.1231119	0.561525458
cds2959	"PF11_0125;partial=true;start_range=.,457936"	XM_001347761.1	0	0	2.975724932	0	10.07945591	0	18.36477396	1.54727492	0	6.307238685	0	5.26781094	0	0	0	0	0	0	0	0	0	0	0	0
cds296	"PFB0750w;partial=true;start_range=.,675430"	XM_001349632.1	4.22978337	19.1991924	0	7.972692172	20.15891182	10.84157528	27.54716095	7.736374602	0	23.12654185	2.444509278	13.16952735	0	1.359959993	0.607994467	0.705520597	1.947407301	1.710308693	0	0.69097121	0.907631095	0	1.201196885	0.842288188
cds2960	"PF11_0126;partial=true;start_range=.,459776"	XM_001347762.2	8.45956674	17.0659488	23.80579945	7.972692172	10.07945591	8.518380574	13.77358047	17.02002413	15.00831385	16.81930316	14.66705567	10.53562188	9.339195502	7.706439958	17.32784232	10.58280895	9.737036506	6.841234774	21.85764234	11.05553935	6.353417663	11.68224976	12.25220822	11.5112719
cds2961	"PF11_0127;partial=true;start_range=.,462290"	XM_001347763.2	8.45956674	12.7994616	11.90289973	10.63025623	100.7945591	17.03676115	91.82386982	30.94549841	1.154485681	60.96997396	9.77803711	18.43733829	1.334170786	3.173239983	0.911991701	2.11656179	1.298271534	1.710308693	6.375145683	1.381942419	0.907631095	1.947041626	1.681675638	1.965339105
cds2962	"PF11_0128;partial=true;start_range=.,470541"	XM_001347764.1	0	2.1332436	0	0	0	1.548796468	4.591193491	4.641824761	0	4.20482579	2.444509278	3.950858205	0	0	0	0	0	0	0	0	0	0	0	0
cds2963	"PF11_0129;partial=true;start_range=.,471946"	XM_001347765.1	4.22978337	8.532974399	5.951449863	0	5.039727954	3.87199117	9.182386982	4.641824761	0	4.20482579	0	9.218669145	0.444723595	0	0	0.352760298	0.649135767	0.570102898	0.910735098	0.230323737	0.907631095	0	0	0.280762729
cds2964	"PF11_0130;partial=true;start_range=.,475880"	XM_001347766.1	0	4.2664872	2.975724932	0	5.039727954	3.097592936	9.182386982	4.641824761	0	10.51206448	1.222254639	9.218669145	0	0.906639995	0.607994467	0	0	0	0	0	0	0	0.240239377	0
cds2965	"PF11_0526;partial=true;start_range=.,477484"	XM_001347767.1	16.91913348	14.9327052	8.927174795	15.94538434	20.15891182	9.292778808	9.182386982	21.66184889	8.081399766	14.71689027	24.44509278	14.48648009	36.91205841	26.29255986	18.54383126	17.63801492	29.21110952	48.45874631	40.07234429	23.26269739	36.30524379	25.31154114	22.10202268	28.07627292
