Name,TP 1,TP 2,TP 3,TP 4,TP 5,TP 6,TP 7,TP 8,TP 9,TP 10,TP 11,TP 12,TP 13,TP 14,TP 15,TP 16,TP 17,TP 18,TP 19,TP 20,TP 21,TP 22,TP 24,TP 25,TP 26,TP 27,TP 28,TP 30,TP 31,TP 32,TP 33,TP 34,TP 35,TP 36,TP 37,TP 38,TP 39,TP 40,TP 41,TP 42,TP 43,TP 44,TP 45,TP 46,TP 47,TP 48
PF14_0255,0.311,0.291742807,0.258230279,0.266917737,0.194842236,NA,NA,0.174068286,0.178298232,0.274384157,0.186,0.214252042,0.328917213,0.284,0.478989326,0.488274593,0.774900299,0.955,0.960656626,1.613,1.555962731,1.483449208,2.554015041,2.09201515,2.028705447,2.476,2.601100776,2.121029036,2.159,1.694141386,1.305630538,1.061869454,0.831988149,0.730445983,0.759076726,0.600627057,0.40425263,0.447091209,0.288879543,0.319338151,0.301070259,0.237067749,0.409902394,0.310592827,0.395274831,0.453469872
PF14_0653,0.751,0.589297288,0.532390342,0.549015624,0.414039764,0.327226801,0.307,0.303139342,0.471123799,0.345292427,0.352,0.296855255,0.320373892,0.33,0.419220879,0.316560788,0.435127896,0.46,0.388210562,0.672,0.570364883,0.563074678,1.067255252,0.986829774,0.956565438,1.324,1.751541046,1.753479645,1.893,2.571303281,2.535287023,2.222440854,2.149703359,1.790562284,1.916840598,1.465859545,1.13557051,0.865492017,0.630075857,0.80551414,0.73932177,0.607156817,0.716468079,0.702558659,0.742713797,0.622810743
PF14_0652,2.777,2.352539646,1.104185996,1.07526108,0.862176917,0.861189984,0.653,0.832449025,0.532291835,0.553392752,0.354,0.332994132,0.316102252,0.173,0.112802409,0.135502032,0.106315883,0.172,0.083892958,0.082,0.081746104,0.113176139,0.098335438,0.066375097,0.089345009,0.107,0.104842838,0.2617669,0.323,0.516818403,1.017679041,1.322607369,2.073718319,2.774186601,2.358735127,2.203825189,3.220938442,4.195962799,4.540185549,5.907104057,3.271711054,3.411141257,2.335410232,2.222285973,2.191635288,2.026408019
PF14_0650,0.652,0.562563845,0.695041887,0.676781988,0.692907723,0.801578909,0.63,0.639434545,0.766552266,0.69983373,0.803,0.971878302,1.20175807,1.09,1.310696648,1.286101164,1.418275792,1.543,1.908153545,1.948,1.711094593,1.277674493,1.628398753,1.632987444,1.177059035,1.321,1.311367515,1.205741416,0.891,1.306715562,1.381604816,1.399923952,1.203256881,0.935143241,1.036979322,0.889037904,0.678987451,0.552289137,0.392375744,0.428825504,0.500165117,0.537353534,0.64068782,0.590240969,0.634453858,0.675090483
PF14_0046,2.19,2.207249535,1.463863903,1.72927275,1.639110291,1.571449672,1.223,1.783311878,1.362615075,1.817409667,1.104,1.435230585,1.683030946,1.04,0.847701637,1.141254215,1.234141091,0.862,0.947496919,0.822,1.071059746,0.963400173,0.813748329,0.858877801,0.799187045,0.638,0.674821737,0.629316344,0.55,0.550671151,0.748486473,0.654723535,0.769468811,0.754147787,0.650076056,0.660140404,0.964188342,1.056761008,1.246503766,2.032033359,2.275022825,2.727596184,2.020807349,2.029741361,2.25080054,1.871841801
PF14_0049,0.79,0.736912152,0.579341297,0.607206226,0.530945091,0.533963146,0.59,0.846658639,0.640311942,0.855523631,1.061,0.677604344,0.615117904,0.889,0.787091417,0.9496824,1.007260792,0.727,0.757504083,1.215,1.022755188,1.26832099,0.802020239,1.6993625,1.513947115,1.167,1.12331612,1.056928716,1.01,1.317999797,1.400363858,1.252693393,1.446601294,1.301443572,1.49851371,1.226890631,1.050533548,1.078278774,0.821145765,0.90718099,0.806091321,0.823151875,0.675133367,0.499699152,0.508570166,0.628493318
PF14_0050,1.343,1.358754452,0.736123998,1.0575509,0.885314426,1.034949917,0.639,1.102432471,1.012525762,1.253226528,0.942,0.918960616,1.169008735,0.85,0.714695822,0.960195493,0.989724117,0.74,1.000958166,1.324,1.080349067,1.003619777,1.414586843,1.346694812,1.404929795,1.555,1.168248781,1.24518577,1.664,1.149488422,1.373163179,1.265853691,1.565869028,1.272355068,1.19409737,1.023629648,0.907933141,1.142832001,0.962173584,1.20175415,1.131441453,1.364456566,1.093073097,1.065872078,1.062458405,0.983086351
PF14_0051,0.5905,0.6520626295,0.4908890565,0.4573022025,0.4566615,0.4477173225,0.3895,0.519244515,0.51016723,0.590388374,0.4905,0.5388568175,0.7845600825,0.7695,1.1191850315,0.8819313495,1.3218242075,1.4765,1.5211767605,2.235,1.639566732,1.617670526,2.3081764065,2.2171681855,1.8643598955,1.905,1.853471583,1.6943131675,1.411,1.450401604,0.9923543005,0.9866091125,0.8646905535,0.722365868,0.7850993945,0.5955912945,0.373508522,0.704108861,0.384414489,0.4835692,0.596677566,0.6348147175,0.627483629,0.5713303565,0.4752109645,0.6313346555
PF14_0053,0.472,0.355670525,0.274998488,0.357998669,0.221633043,0.186443187,0.135,0.142096557,0.163982325,0.131026141,0.087,0.122614123,0.1779855,0.182,0.310627511,0.367958112,0.470201149,0.782,0.714735135,1.096,1.22340479,0.93534,1.732147161,1.43706094,1.510668442,1.998,1.719921689,1.989249269,2.101,2.228262166,2.364579427,1.880273873,1.651472419,1.33376429,1.212755194,1.001655443,0.801963961,0.708890577,0.578896393,0.538312857,0.450391393,0.371406133,0.459274407,0.507721844,0.474581554,0.389824982
PF14_0054,2.79,1.670256756,0.895421846,1.265013,0.886532174,0.801578909,0.656,0.644171107,1.051569213,0.615052099,0.691,0.620814683,0.653562744,0.614,0.723113954,0.678678266,0.796821078,0.683,0.880876064,0.856,0.980024266,0.589264196,0.967115544,0.732525207,0.571316285,0.562,0.509236622,0.563874605,0.469,0.741751039,0.998919999,1.533994213,1.400433188,1.519069104,1.623226161,1.116104193,2.604747725,2.338263001,2.027843334,3.057825609,2.522677537,2.641988313,1.935841584,1.413140113,1.805172277,1.435419721
PF14_0055,1.838,1.919574767,2.145491203,2.5749340245,1.977039841,1.8225772475,1.806,2.2640718565,1.9905631965,2.507223742,2.038,1.957954,2.4305700125,1.523,1.9959291825,1.439125064,1.6270713705,1.719,1.2032882395,1.3795,1.0738465645,0.77867056,0.8759973205,0.6477570015,0.5840212925,0.5875,0.4975874445,0.316899325,0.336,0.316334998,0.186652648,0.2142656775,0.2087184125,0.258564954,0.3333849355,0.306264855,0.3434185065,0.496103873,0.563542537,0.8185483765,1.1623983105,1.076682646,1.6309981905,2.169565415,1.9109145745,1.9428741185
PF14_0056,1.405,1.681879965,1.942595896,1.614156617,1.787677618,2.243659917,1.386,2.265255979,1.2506906,2.432461674,1.823,1.533321853,2.454775983,1.502,1.572499238,1.345675334,1.796409624,1.642,1.435227604,1.28,0.874125939,1.177593007,0.755107931,1.03881032,0.910663321,0.761,0.78881754,0.638280955,0.454,0.445351542,0.330159454,0.343812116,0.391467257,0.425554842,0.478228145,0.300313528,0.33753132,0.48175869,0.494734638,0.667351584,0.944486551,1.397382609,1.17459428,0.987937325,1.160647703,1.411552854
PF14_0058,0.894,1.027492652,0.982616562,1.597711433,1.273781149,1.303833984,1.117,1.103616594,1.042459046,1.324134798,1.318,1.455881427,1.435275095,1.106,1.313221992,1.134245509,1.315248052,1.048,1.165454205,1.083,0.966090285,0.810939765,1.156569071,1.068399173,0.908204365,1.222,1.31219964,1.326763777,1.318,1.445135646,0.973595202,1.106285389,1.078218206,1.117216034,1.129286177,0.940310885,0.737859218,0.873860068,0.614153364,0.58523603,0.770885543,0.709886144,1.009255503,0.891665019,0.90510378,0.909212814
